,Id,Designator,Package,Quantity,Designation,Supplier and ref,Bought,Checked footprint v1
,1,AE1,2450AT45A100,1,Antenna,,x,x
,2,BT1,2_AAA_batteryholder_keystone,1,Battery,,x,x
,3,"C1,C2,C3,C11,C17,C22,C23,C24",C_0603,8,100nF,,x,x
,4,"C4,C5,C8,C9",C_0402,4,12pF,,x,x
,5,"C6,C18",C_0603,2,22uF,,x,x
,6,"C13,C15",C_0603,2,12pF,,x,x
,7,"C16,C21",C_0603,2,1uF,,x,x
,8,C20,C_0402,1,100pF,,x,x
,9,C25,C_0603,1,4.7uF,,x,x
,10,C26,C_0603,1,10uF,,x,x
,11,D1,LED_WS2812B-PLCC4,1,CLV1A-FKB,,x,x
,12,JP1,Pin_Header_Straight_1x02,1,Jumper_NC,,x,x
,13,"L1,L2",R_0402,2,10nH,,x,x
,14,"L6,L9",R_0603,2,BLM18HE152SN1,,x,x
,15,L7,R_0805,1,6.8uH,,x,x
,16,L10,VLS3015E,1,4.7uH,,x,x
,17,P1,Molex_KK-6410-04_04x2.54mm_Straight,1,LMT_70_1,,x,
,18,P2,Molex_KK-6410-04_04x2.54mm_Straight,1,LMT_70_2,,x,
,19,P3,sma_female_top,1,SMA FEMALE,,x,
,20,P4,USB_Mini-B,1,USB_OTG,,x,x
,21,P5,Pin_Header_Straight_SMT_02x05_1_27mm,1,CONN_02X05,,x,x
,22,Q1,SOT-23,1,2N7002,,x,x
,23,R1,R_0603,1,100,,x,x
,24,"R2,R7",R_0603,2,10K,,x,x
,25,R3,R_0603,1,100K,,x,x
,26,R4,R_0603,1,2.08K,,x,x
,27,R5,R_0603,1,3.09M,,x,x
,28,R6,R_0603,1,1M,,x,x
,29,SW1,SKSLLAE010,1,SW_Push,,x,x
,30,U1,2450BM14G011T,1,2450BM14G0011T,,x,x
,31,U2,XMSSJE3G0PA-003,1,XMSSJE3G0PA-003,,x,x
,32,U3,CC1350F128RSM,1,CC1350F128RSM,,x,x
,33,U4,SOT-23-5,1,TLV713,,x,x
,34,U5,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,TLC5973,,x,x
,35,U6,SOT-23-6,1,MCP16251,,x,x
,36,Y1,TSX-3225,1,24MHz,,x,x
,37,Y2,FC-135,1,32.768kHz,,x,x
,38,U7,LFB18868MBG9E212,1,LFB18868MBG9E212,,x,x
